"LABNR","C14AGE","C14STD","C13","METHOD","MATERIAL","COUNTRY","SITE","FEATURE","FEATURE_DESC","DEPTH","LAT","LONG","PHASE","LITHICS","POTTERY","IRON","FRUIT","ZOO","CLASS","REMARK","SOURCE"
"Bdy-306",1990,210,"","","-","CAF","Batalimo","Z III","Layer","",3.676,18.455,"","-","Batalimo-Maluba","-","-","","Ia","","Kote 1992: 118 Tab. 10; Gotilogué 2000: 256; Zangato 2000; Lupo et al. 2018: 14 Tab. 3"
"Beta-428090",230,30,"-29.5","AMS","Uapaca","COD","Iyonda","IYO 15/48/1-13","Furnace","0.72",-0.035,18.186,"LIA","-","Botendo","slag","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-428091",120,30,"-28.1","AMS","Uapaca","COD","Iyonda","IYO 15/48/2-4","Furnace","1.08",-0.035,18.186,"LIA","-","Botendo","slag","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-441457",2040,30,"-25.4","AMS","Charcoal_endocarp_elaeis","COD","Iyonda","IYO 15/2/4-57","Pit","0.65",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-441458",2110,30,"-24.0","AMS","Lophira","COD","Iyonda","IYO 15/2/4-197","Pit","0.71",-0.035,18.186,"EIA","-","Imbonga","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-447441",410,30,"-25.6","AMS","Charcoal_endocarp_elaeis","COD","Bolondo","BLD 16/5-72","Layer","0.1125",-0.306,21.253,"LIA","-","Wema; Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-447441",410,30,"-25.6","AMS","Charcoal_endocarp_elaeis","COD","Bolondo","BLD 16/5-72","Layer","0.1125",-0.306,21.253,"LIA","-","Wema; Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-447442",520,30,"-24.5","AMS","Charcoal_endocarp_elaeis","COD","Bolondo","BLD 16/5-76","Layer","0.139",-0.306,21.253,"LIA","-","Wema","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-469857",420,30,"-9.4","AMS","Cenchrus americanus","COD","Bolondo","BLD 16/1-38","Layer","0.515",-0.306,21.253,"LIA","-","Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Beta-469858",480,30,"-9.1","AMS","Cenchrus americanus","COD","Bolondo","BLD 16/1-39","Layer","0.59",-0.306,21.253,"LIA","-","Bolondo","-","-","-","Ia","","Neumann et al. 2022 Tab. 1"
"Erl-17763",2201,52,"-9.2","","Charcoal_seed_Pennisetum glaucum","COD","Boso-Njafo","BSN 85/1","-","",1.131,19.21,"","-","Imbonga","-","-","","Ia","","Kahlheber et al. 2014: 500 Tab. 4"
"Gif-5894",1590,90,"","","Charcoal","CAF","Batalimo","ZII","Layer","-",3.676,18.455,"","-","Batalimo-Maluba","-","-","","Ia","","de Maret 1985a; Eggert 1992: 11 Tab. 2; Eggert 1993"
"GrN-13076",1450,45,"","","Charcoal","COD","Isaka-Elinga","ISK 83/104","-","",-0.667,20.202,"","-","Lingonda","-","-","","Ia","","Eggert 1987: 133 Tab. 1; Wotzka 1995: 115"
"GrN-13078",660,80,"","","Charcoal","COD","Bolondo","BLD 83/1","-","",-0.306,21.253,"","-","Bondongo; Wema","-","-","","Ia","","Wotzka 1995: 138, 171-172; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1"
"GrN-13078",660,80,"","","Charcoal","COD","Bolondo","BLD 83/1","-","",-0.306,21.253,"","-","Bondongo; Wema","-","-","","Ia","","Wotzka 1995: 138, 171-172; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1"
"GrN-13583",2290,70,"","","Charcoal","COD","Bokele","BKE 81/1","-","",-0.099,18.592,"","-","Imbonga","-","-","","Ia","","Eggert 1987: 133 Tab. 1; Eggert 1992: 10 Tab. 1; Eggert 1993; Wotzka 1995: 66-67; Seidensticker 2017: Tab. 21"
"GrN-13584",1670,110,"","","Charcoal","COD","Maluba","MLB 85/1-3-1","Pit","0.975",2.806,18.524,"","-","Batalimo-Maluba","-","Eg","","Ia","","Eggert 1992: 11 Tab. 2; Eggert 1993; Seidensticker 2017"
"GrN-13585",1990,60,"","","Charcoal","COD","Maluba","MLB 85/1-3-2","Pit","0.925",2.806,18.524,"","-","Batalimo-Maluba","-","Eg","","Ia","","Eggert 1992: 11 Tab. 2; Eggert 1993; Seidensticker 2017"
"GrN-14002",710,60,"","","Charcoal","COD","Baringa","BAR 85/1","-","",0.729,20.736,"","-","Bondongo","-","-","","Ia","","Wotzka 1995: 138; Seidensticker 2017: Tab. 21"
"GrN-14003",2090,70,"","","Charcoal","COD","Bokuma","BOK 83/2","-","",-0.114,18.698,"","-","Inganda","-","-","","Ia","","Eggert 1992: 10 Tab. 1; Wotzka 1995: 84; Seidensticker 2017: Tab. 21"
