"Pottery Group","Start aSCAC","Bayesian Start","End aSCAC","Bayesian End"
"Imbonga",-400,-367,-100,-99
"Monkoto",-100,-243,200,561
"Inganda",-200,-214,100,120
"Early Pottery Phase",-400,-203,100,45
"Batalimo-Maluba",-200,-139,600,572
"Ilambi",700,-80,1600,1717
"Pikunda-Munda",-200,-47,500,390
"Middle Pottery Phase",50,-9,450,573
"Bokele",0,199,200,326
"Lingonda",200,289,700,722
"Bokuma",200,298,550,701
"Mbandaka",1000,1142,1400,1338
"Bondongo",1000,1174,1400,1403
"Wema",1200,1337,1400,1497
"Nkile",1300,1354,1600,1442
"Bolondo",1450,1423,1800,1519
"Ebambe",1500,1491,1987,1786
"Botendo",1700,1647,1920,1875
